Questioner.Quote.Offer,Lender ID,Amortization,Status,Month#,TopicCreatedOn
dd70adee-7a24-4bd1-9210-9cef3f67957a53432176-b2c1-4f3e-b36e-f664b692b0a84ad54c88-dc3e-49e5-9ac8-c4db494b9807,83,Variable,1,5,2018-05-30 16:54:53 GMT
c71178c6-eb5b-4705-ab03-4d6c11b7f4b8026eacaf-8c4e-4682-a4d0-5a662491d11b6733d6ba-b3ac-429b-8e88-7dc4342c10f7,9,Variable,1,5,2018-05-30 19:07:18 GMT
193d7c32-ad8d-43b3-ae31-7b3cecf925ca75e247ff-7d5a-42c8-b7d3-03947ab9a34e746208f2-b948-4392-b25b-bb2724e41bb3,232,Variable,1,5,2018-05-30 19:38:12 GMT
70749af3-5845-469d-a709-c112434365b39d03f8d5-4fde-410a-97a6-776ee27da92a61d264a6-570f-4fde-9db6-a7027075fd64,83,Variable,1,5,2018-05-30 21:01:55 GMT
7ba13c06-07fc-4d32-89cd-04eaff3555b2aae0d303-5711-471c-a8eb-bd6ffefa443f388e6f08-5fc6-4c87-be98-9f6f84de65d8,232,Variable,1,5,2018-05-30 21:11:50 GMT
d1ebb387-e5c4-45a3-b2ee-fb45c5cc9afb3f97de94-7061-472f-bda4-c466ecf88afca4dfd9fd-196e-4ed1-b779-a692a685983f,83,Variable,1,5,2018-05-30 22:39:51 GMT
5a6eca84-7461-4ac9-ae31-66cd24efd29a85d5e2d8-a13c-424a-9106-31d224e8ced1240caacc-96c8-4b67-bb2e-d75c5fd2b6fe,83,Variable,1,5,2018-05-31 13:21:40 GMT
13c32f30-d29c-40c5-be7c-c2ffcc832492a45dd718-26e0-42bb-a95a-4220cc7f26caa22bbb66-9a74-4b57-ae62-1e15d1fee492,83,Variable,1,5,2018-05-31 15:08:08 GMT
17f463e1-ccde-4471-a677-2b38ebdb9785fa73b501-1959-4383-8065-815a529ab1519539e5e7-756a-432e-b7dd-1657c7aaeeb8,7,Variable,1,5,2018-05-31 15:22:12 GMT
83cf0750-86ac-4b97-8a16-1b1e6c82762a48a3b8b0-f3ca-4fc2-98f5-50c6161f3fce9b283984-d820-4a19-8332-c326d1691f49,83,Variable,1,5,2018-05-31 15:39:14 GMT
997cd06f-4fee-4eb7-b763-4cdbf8465d8394005b81-eff9-4ac5-a0ee-ec4b99022a49161f35b1-3ce9-43dd-8929-690e557ba85c,83,Variable,1,5,2018-05-31 17:50:35 GMT
71bd6dd5-7d66-499c-b7d4-25e99f1e478f5a760bd7-527e-4ee8-8de9-5d7640500037cca5ffca-0057-4055-bd96-bf005c24e5ee,83,Variable,1,5,2018-05-31 17:53:36 GMT
b9989f33-70d7-43fa-91ee-fd5b3eb1b72e74e57ab3-097c-4b6f-b076-61f804e7d5b698af6a16-ee53-41ad-bdd2-d38db5927ba6,83,Variable,1,5,2018-05-31 19:13:53 GMT
7754d9bf-234b-4350-a45a-d7b346ffbd345ae1a09a-da35-4a0b-a3d9-c098757edfd957e54818-ec53-4ba1-808c-f9d84bed695a,83,Variable,1,5,2018-05-31 22:09:01 GMT
7754d9bf-234b-4350-a45a-d7b346ffbd345ae1a09a-da35-4a0b-a3d9-c098757edfd92a3c2331-f224-48bd-a634-44c8f0f55aa0,232,Variable,1,5,2018-05-31 22:09:09 GMT
50a11e0d-47bc-4a0d-9554-3a7442179bc375a23c87-239a-4a00-b839-757681e9b1849dcdf336-901f-4235-8139-6c065fba26dc,83,Variable,1,5,2018-05-31 23:02:38 GMT
96a39859-bd4a-4805-97b9-756bbbd7eefc8a018c23-e652-448b-ac56-603d3524b2830dc2684f-d264-4c75-99d6-cd83b176783a,83,Variable,1,6,2018-06-01 12:20:48 GMT
2f414a44-4234-4536-a171-8bfe5db6c3b2da4584fd-227c-4705-9183-53e088c1afd7001a7381-40c5-46b4-a588-adbd9fbbebdd,83,Variable,1,6,2018-06-01 13:19:11 GMT
